ID,Title,Genres,Rating,Year,Numrate,Runtime,Image,Directors,Writers,Stars
tt0283530,The Emperor's Club,Drama,6.9,2002,18K,109,"https://m.media-amazon.com/images/M/MV5BZmNlNzIyMDAtZDA1NC00NTU4LWIzMWUtNmZkYmYyNTcxMDBiXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",Michael Hoffman,"Ethan Canin, Neil Tolkin","Kevin Kline, Emile Hirsch, Joel Gretsch"
tt6859762,The Little Stranger,"Drama, Horror, Mystery",5.5,2018,11K,111,"https://m.media-amazon.com/images/M/MV5BMTYyNzQ5OTk0Nl5BMl5BanBnXkFtZTgwNzgzNDk3NTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Lenny Abrahamson,"Lucinda Coxon, Sarah Waters","Domhnall Gleeson, Will Poulter, Ruth Wilson"
tt1196204,Cemetery Junction,"Comedy, Drama",6.8,2010,24K,95,"https://m.media-amazon.com/images/M/MV5BMTQ1MjA2NzIwMF5BMl5BanBnXkFtZTcwMzUyMjcyMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Ricky Gervais, Stephen Merchant","Ricky Gervais, Stephen Merchant","Christian Cooke, Felicity Jones, Tom Hughes"
tt3463106,The Cured,"Zombie Horror, Drama, Horror, Sci-Fi, Thriller",5.6,2017,9.8K,95,"https://m.media-amazon.com/images/M/MV5BMmIwODI3NGItZGUxOS00ZDdiLWFhZmMtYzNmOTczNmJhM2VmXkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg",David Freyne,David Freyne,"Elliot Page, Sam Keeley, Tom Vaughan-Lawlor"
tt1023490,Il Divo,"Biography, Drama",7.2,2008,20K,110,"https://m.media-amazon.com/images/M/MV5BZTJhZTFlNWMtNDEwZS00NTJhLWE1MzYtNWQyZGUxOGM0NGFiXkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",Paolo Sorrentino,Paolo Sorrentino,"Toni Servillo, Anna Bonaiuto, Giulio Bosetti"
tt1547234,Premium Rush,"Action, Thriller",6.5,2012,120K,91,"https://m.media-amazon.com/images/M/MV5BNzkxNjAwMDkwOF5BMl5BanBnXkFtZTcwMTQ1NDkwOA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",David Koepp,"David Koepp, John Kamps","Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez"
tt0804516,P2,"Dark Comedy, Psychological Thriller, Crime, Horror, Thriller",5.9,2007,38K,98,"https://m.media-amazon.com/images/M/MV5BMTk2Nzk5ODAxMF5BMl5BanBnXkFtZTcwNzA0MTU1MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Franck Khalfoun,"Alexandre Aja, Grégory Levasseur, Franck Khalfoun","Rachel Nichols, Wes Bentley, Simon Reynolds"
tt0131704,The Adventures of Rocky & Bullwinkle,"Road Trip, Slapstick, Adventure, Comedy, Family, Fantasy",4.3,2000,22K,92,"https://m.media-amazon.com/images/M/MV5BYWUyNTQyNjAtYTQ4NS00ZTViLWI0OTEtMzJmYTcyMWVhZDNkXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Des McAnuff,"Jay Ward, Kenneth Lonergan","Robert De Niro, Rene Russo, Piper Perabo"
tt0261289,Serving Sara,"Romantic Comedy, Comedy, Romance",5.3,2002,19K,99,"https://m.media-amazon.com/images/M/MV5BOTJkN2E4M2QtNzNhOS00NTM5LWI4MjYtM2FhNGQxOWY4MTQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Reginald Hudlin,"Jay Scherick, David Ronn","Matthew Perry, Elizabeth Hurley, Bruce Campbell"
tt0365957,You Got Served,"Drama, Music",3.9,2004,29K,95,"https://m.media-amazon.com/images/M/MV5BMGQ3Y2ZjYmUtNTUxYy00MThhLTg1N2UtZTU2Yzg0NTA5ZDE5XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Chris Stokes,Chris Stokes,"Omarion, Jarell Houston, Raz B"
tt2141773,Hell and Back,"Adult Animation, Stop Motion Animation, Adventure, Animation, Comedy, Fantasy",5.4,2015,5.4K,86,"https://m.media-amazon.com/images/M/MV5BMjM4NzUxODgyNV5BMl5BanBnXkFtZTgwMDM5MzA3NjE@._V1_QL75_UX190_CR0,1,190,281_.jpg","Tom Gianas, Ross Shuman","Tom Gianas, Zeb Wells, Hugh Sterbakov","Nick Swardson, Mila Kunis, Bob Odenkirk"
tt1651323,Breaking Wind,"Parody, Comedy",2.3,2012,5.1K,82,"https://m.media-amazon.com/images/M/MV5BMjk1MTAwNjg5NF5BMl5BanBnXkFtZTgwNTcxODg0MDE@._V1_QL75_UY281_CR7,0,190,281_.jpg",Craig Moss,Craig Moss,"Heather Ann Davis, Eric Callero, Frank Pacheco"
tt0243609,To End All Wars,"Action, Drama, War",6.9,2001,12K,117,"https://m.media-amazon.com/images/M/MV5BMjAyMDMxMTExOV5BMl5BanBnXkFtZTcwNzEwMjYyMQ@@._V1_QL75_UY281_CR3,0,190,281_.jpg",David L. Cunningham,"Ernest Gordon, Brian Godawa","Robert Carlyle, Kiefer Sutherland, Ciarán McMenamin"
tt1657299,The Decoy Bride,"Comedy, Drama, Romance",6.1,2011,13K,89,"https://m.media-amazon.com/images/M/MV5BMTM4ODk4MTU3N15BMl5BanBnXkFtZTcwNDU1NDczNw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Sheree Folkson,"Neil Jaworski, Sally Phillips","Kelly Macdonald, David Tennant, Alice Eve"
tt2102496,Cabin Fever 3: Patient Zero,"Body Horror, Splatter Horror, Teen Horror, Horror, Sci-Fi",4.4,2014,8.7K,91,"https://m.media-amazon.com/images/M/MV5BMTQxMTYzNTE2N15BMl5BanBnXkFtZTgwNTcwNTg4MTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Kaare Andrews,Jake Wade Wall,"Sean Astin, Currie Graham, Ryan Donowho"
tt0997152,The Experiment,"Prison Drama, Psychological Thriller, Drama, Thriller",6.4,2010,58K,96,"https://m.media-amazon.com/images/M/MV5BYmMxZTZmNzktZTk1ZS00ODgyLWFlZTgtODlkMGY5YzhkZDJiXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Paul T. Scheuring,"Paul T. Scheuring, Mario Giordano, Christoph Darnstädt","Adrien Brody, Cam Gigandet, Forest Whitaker"
tt1731697,The Lords of Salem,"Witch Horror, Horror, Thriller",5.2,2012,33K,101,"https://m.media-amazon.com/images/M/MV5BMjA2NTc5Njc4MV5BMl5BanBnXkFtZTcwNTYzMTcwOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Rob Zombie,Rob Zombie,"Sheri Moon Zombie, Meg Foster, Bruce Davison"
tt1711525,Office Christmas Party,"Holiday Comedy, Raunchy Comedy, Comedy, Holiday",5.9,2016,91K,105,"https://m.media-amazon.com/images/M/MV5BMDhiMjg4ODMtYjgyNi00YjZkLWE0ZGItNjU0NGVlMzViZjdlXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg","Josh Gordon, Will Speck","Jon Lucas, Scott Moore, Timothy Dowling","Jason Bateman, Olivia Munn, T.J. Miller"
tt0423977,Charlie Bartlett,"Coming-of-Age, Teen Drama, Teen Romance, Comedy, Drama, Romance",6.9,2007,67K,97,"https://m.media-amazon.com/images/M/MV5BMTUyNTgyNDI2NF5BMl5BanBnXkFtZTcwOTA2NTg1MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Jon Poll,Gustin Nash,"Anton Yelchin, Robert Downey Jr., Hope Davis"
tt6859352,Support the Girls,"Comedy, Drama",6.4,2018,8.6K,93,"https://m.media-amazon.com/images/M/MV5BMjdlYjY1YWQtNTUwYi00NzkwLTk0NTQtZWE3MjQ3N2IyMmUwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Andrew Bujalski,Andrew Bujalski,"Regina Hall, Haley Lu Richardson, Dylan Gelula"
tt0244244,Swordfish,"Cyber Thriller, Heist, Action, Crime, Thriller",6.5,2001,200K,99,"https://m.media-amazon.com/images/M/MV5BMmVlOGM1YjQtNzMzYS00ZmY5LTlkMDQtN2EyZTQ4NTExNjNjXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Dominic Sena,Skip Woods,"John Travolta, Hugh Jackman, Halle Berry"
tt13314558,Day Shift,"One-Person Army Action, Vampire Horror, Action, Comedy, Fantasy, Horror, Thriller",6.1,2022,95K,113,"https://m.media-amazon.com/images/M/MV5BYWQ4NzM3NTEtNjQ1NC00NjM3LWIwOTAtMDQ2ZGRlZGRlNTFiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",J.J. Perry,"Tyler Tice, Shay Hatten","Jamie Foxx, Dave Franco, Natasha Liu Bordizzo"
tt1126590,Big Eyes,"True Crime, Biography, Crime, Drama, Romance",7.0,2014,102K,106,"https://m.media-amazon.com/images/M/MV5BMjA2ODM5MDE3N15BMl5BanBnXkFtZTgwOTIxNjc1MzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Tim Burton,"Scott Alexander, Larry Karaszewski","Amy Adams, Christoph Waltz, Danny Huston"
tt16491560,A Sacrifice,"Drama, Horror, Mystery, Thriller",5.1,2024,5.1K,94,"https://m.media-amazon.com/images/M/MV5BMjJiNzg4YzMtOGI1Yy00NjFlLWIwNTItMDVmMDY2NmNjM2U0XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",Jordan Scott,"Jordan Scott, Nicholas Hogg","Eric Bana, Sadie Sink, Sylvia Hoeks"
tt0120630,Chicken Run,"Animal Adventure, Prison Drama, Slapstick, Stop Motion Animation, Adventure, Animation, Comedy, Drama, Family",7.1,2000,219K,84,"https://m.media-amazon.com/images/M/MV5BZGViZmJjMTQtNDk3NC00NjQ4LTg0ODItYWI3MjY3YmUwMjczXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg","Peter Lord, Nick Park","Peter Lord, Nick Park, Karey Kirkpatrick","Mel Gibson, Julia Sawalha, Phil Daniels"
tt1610525,Chuck,"Boxing, Biography, Drama, Sport",6.5,2016,7.2K,98,"https://m.media-amazon.com/images/M/MV5BNDU2MDg5YzctZWQ3YS00YzNiLWE1M2MtMmU5YjU5MzMyZDdiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Philippe Falardeau,"Jeff Feuerzeig, Jerry Stahl, Michael Cristofer","Liev Schreiber, Elisabeth Moss, Ron Perlman"
tt8178486,Earthquake Bird,"Psychological Thriller, Crime, Drama, Mystery, Romance, Thriller",6.0,2019,16K,107,"https://m.media-amazon.com/images/M/MV5BYmI5MTM0ZDgtMTAzMy00YzQ5LWIyZWQtNTU1NDJhYzg5MjY0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Wash Westmoreland,"Susanna Jones, Wash Westmoreland","Alicia Vikander, Kiki Sukezane, Kenichi Masuda"
tt3478962,My King,"Drama, Romance",7.1,2015,15K,124,"https://m.media-amazon.com/images/M/MV5BMjEzOTI2NzQ1Ml5BMl5BanBnXkFtZTgwNjI0NjI4OTE@._V1_QL75_UX190_CR0,1,190,281_.jpg",Maïwenn,"Etienne Comar, Maïwenn","Vincent Cassel, Emmanuelle Bercot, Louis Garrel"
tt12335692,Last Man Down,"Action, Sci-Fi",3.5,2021,14K,87,"https://m.media-amazon.com/images/M/MV5BNDRlOTE0ZDktMzdjNC00YjE1LWI1NDgtNWM0NGE4MjE0ZjUzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Fansu Njie,"Fansu Njie, Daniel Stisen, Andreas Vasshaug","Daniel Stisen, Olga Kent, Daniel Nehme"
tt1288403,Universal Soldier: Regeneration,"Action, Adventure, Sci-Fi",5.3,2009,27K,97,"https://m.media-amazon.com/images/M/MV5BZmI3NWQzZjEtYzU3Yi00MzRmLWE3OWEtMjViZjY4MmQ2Yjg5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",John Hyams,"Richard Rothstein, Christopher Leitch, Dean Devlin","Dolph Lundgren, Jean-Claude Van Damme, Andrei Arlovski"
